Strain_name,Publication_name,Other_name,Loci_count,Loci_missing,Lineage,Mating_type,Continent,Country,Province_State,Year_collected,Host_type,Host_genus,Host_genus_species,Source_publication,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
pr15_1093,15_1093,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2015,broadleaf tree,Magnolia sp.,Magnolia grandiflora,Hamelin2022,SRR17285117,,,,,,
Pr1537,Pr1537,,6,,NA1,A2,North America,United States,USA: CA,2012,conifer tree,Abies sp.,Abies grandis,Hamelin2022,SRR9883244,,,,,,
pr16_0201_0022,16_0201_0022,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2016,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285115,,,,,,
pr16_0245_0019,16_0245_0019,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2016,shrub,Pieris sp.,Pieris japonica,Hamelin2022,SRR17285114,,,,,,
pr16_0329_0026,16_0329_0026,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2016,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285112,,,,,,
pr16_0386_0016,16_0386_0016,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2016,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285111,,,,,,
Pr1652,Pr1652,,6,,NA1,A2,North America,United States,USA: CA,2014,environmental,environmental,stream,Hamelin2022,SRR9883278,,,,,,
pr17_0134_0030,17_0134_0030,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2017,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285110,,,,,,
pr17_0682_0004,17_0682_0004,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2017,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285108,,,,,,
Pr218,Pr218,,6,,NA1,A2,North America,United States,USA: CA,2002,shrub,Frangula sp. ,Frangula californica,Hamelin2022,SRR9883235,,,,,,
Pr451,Pr451,,6,,NA1,A2,North America,United States,USA: CA,2004,broadleaf tree,Sequoia sp.,Sequoia sempervirens,Hamelin2022,SRR9883255,,,,,,
Pr745,Pr745,,6,,NA1,A2,North America,United States,USA: CA,2010,environmental,environmental,rainwater,Hamelin2022,SRR9883232,,,,,,
Pr93,Pr93,,6,,NA1,A2,North America,United States,USA: CA,2001,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR9883239,,,,,,
Pram_03_0002_EU1,Pram_03_0002_EU1,,6,,EU1,A1,North America,Canada,Canada: BC,2003,shrub,Rhododendron sp.,Rhododendron sp.,Feau2019,SRR8327051,,,,,,
Pram_03_0107_EU1,Pram_03_0107_EU1,,6,,EU1,A1,North America,Canada,Canada: BC,2003,shrub,Rhododendron sp.,Rhododendron sp.,Feau2019,SRR8327050,,,,,,
Pram_04_0002_NA1,Pram_04_0002_NA1,,6,,NA1,A2,North America,Canada,Canada: BC,2004,shrub,Camellia sp.,Camellia sp.,Feau2019,SRR8327084,,,,,,
Pram_04_17031_EU1,Pram_04_17031_EU1,,6,,EU1,A1,North America,Canada,Canada: BC,2004,shrub,Rhododendron sp.,Rhododendron sp.,Feau2019,SRR8327049,,,,,,
Pram_04_20470_NA2,Pram_04_20470_NA2,,6,,NA2,A2,North America,Canada,Canada: BC,2004,shrub,Rhododendron sp.,Rhododendron sp.,Feau2019,SRR8327053,,,,,,
Pram_04_2231_NA1,Pram_04_2231_NA1,,6,,NA1,A2,North America,Canada,Canada: BC,2004,shrub,Camellia sp.,Camellia japonica,Feau2019,SRR8327087,,,,,,
PRAM_04_22579,PRAM_04_22579,,6,,NA1,A2,North America,Canada,"Canada: BC, South-east Vancouver Island",2004,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285124,,,,,,
Pram_04_35009_NA1,Pram_04_35009_NA1,,6,,NA1,A2,North America,Canada,Canada: BC,2004,shrub,Gaultheria sp.,Gaultheria sp.,Feau2019,SRR8327089,,,,,,
