Strain_name,Other_name,Phylum,Class,Order,Family,Genus,LociCount,Lineage,Continent,Country,Region,YearCollected,HostDetailed,HostGeneral,HostType,SourcePub,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
CC1008,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2002,Rhododendron sp.,Rhododendron sp.,shrub,Turner2017,SRX2190141,,,,,,
CC1011,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,United Kingdom,United Kingdom: England,2002,Rhododendron sp.,Rhododendron sp.,shrub,Turner2017,SRX202260,,,,,,
CC2186,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2009,Rhododendron sp.,Rhododendron sp.,shrub,Turner2017,SRX2190145,,,,,,
CC2187,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2009,Rhododendron sp.,Rhododendron sp.,shrub,Turner2017,SRX2190146,,,,,,
P1578,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,United Kingdom,United Kingdom,2002,Rhododendron catawbiense,Rhododendron sp.,shrub,Jung2021,,MW323770,,MW323698,MW323634,MW323734,MW323598
Pram_P1559_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2003,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327040,,,,,,
Pram_PR_08_028_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2002,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327108,,,,,,
CC1033,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2002,Viburnum sp.,Viburnum sp.,shrub,Turner2017,SRX2190142,,,,,,
CC1048,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2002,Viburnum sp.,Viburnum sp.,shrub,Turner2017,SRX202261,,,,,,
Pram_CSL_1620_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,unknown,Viburnum sp.,Viburnum sp.,shrub,Feau2019,SRR8327034,,,,,,
